time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.178487,0.0667,0.0006,0.1364,0.152
8.19756,-0.0688,0.0829,0.2618,0.283
8.217482,-0.2234,0.1499,0.2064,0.339
8.257141,-0.4341,-0.07,0.0634,0.444
8.260724,0.0096,-0.1698,-0.2481,0.301
8.281648,0.0485,-0.1341,-0.3095,0.341
8.306513,0.1644,-0.0211,-0.1931,0.254
8.317571,0.1625,0.2199,-0.1229,0.3
8.347652,0.1132,0.0518,0.0656,0.141
8.357704,-0.0118,-0.1734,0.1226,0.213
8.377248,-0.0684,-0.2839,-0.0292,0.294
8.397004,-0.008,-0.1786,0.0039,0.179
8.417007,0.0978,0.0046,-0.0002,0.098
8.445239,0.1776,0.118,-0.0034,0.213
8.466868,0.1353,0.0843,-0.0932,0.185
8.476608,0.0946,0.0838,-0.1106,0.168
8.497383,0.0127,0.1456,-0.0898,0.172
8.516895,-0.0518,0.1761,-0.0588,0.193
8.545168,-0.0659,0.1583,-0.0234,0.173
8.559226,-0.0184,0.1594,-0.0585,0.171
8.577122,-0.0077,0.0867,-0.0392,0.095
8.596686,-0.0202,0.0195,-0.019,0.034
8.616881,-0.0329,-0.0416,0.0124,0.055
8.645066,-0.0355,-0.076,0.0159,0.085
8.668877,-0.0046,-0.0854,0.0471,0.098
8.677887,0.0255,-0.1116,0.0798,0.14
8.696593,0.0221,-0.1478,0.0645,0.163
8.71657,0.014,-0.1796,0.0593,0.19
8.751018,0.0302,-0.1928,0.064,0.205
8.756659,0.017,-0.2168,0.0817,0.232
8.777,0.0359,-0.1883,0.035,0.195
8.795909,0.0311,-0.1387,0.0181,0.143
8.816175,0.0055,-0.0918,0.0132,0.093
8.844577,-0.0199,-0.0564,0.0255,0.065
8.857632,-0.0603,-0.0245,0.0067,0.065
8.876643,-0.0447,0.0199,-0.0051,0.049
8.896073,-0.0482,0.0393,0.0111,0.063
8.916282,-0.0647,0.0488,0.0257,0.085
8.936491,-0.0648,0.0473,0.0212,0.083
8.955761,-0.0735,0.0269,0.0516,0.094
8.980674,-0.0313,-0.0092,0.028,0.043
8.99597,0.008,-0.0551,0.0183,0.059
9.01544,0.0197,-0.1061,0.0067,0.108
9.036751,0.0025,-0.109,-0.0134,0.11
9.060331,0.0152,-0.0517,-0.0269,0.06
9.07544,0.0279,0.0226,-0.0426,0.056
9.095612,0.0506,0.0814,-0.0518,0.109
9.115841,0.0708,0.1208,-0.0638,0.154
9.135668,0.0717,0.1292,-0.062,0.16
9.162684,0.0573,0.0834,-0.0948,0.139
9.179727,0.0279,0.0448,-0.0363,0.064
9.195118,0.0234,0.0475,-0.1349,0.145
9.215259,-0.0035,0.0673,0.0302,0.074
9.234928,-0.1013,0.0467,0.0606,0.127
9.26014,-0.1228,-0.0481,0.0495,0.141
9.275893,-0.1108,-0.1471,0.0589,0.193
9.300689,-0.0761,-0.1395,0.1221,0.2
9.315351,-0.1172,-0.1509,0.0372,0.195
9.334977,-0.0475,-0.0107,0.0098,0.05
9.362156,0.2109,0.0524,-0.0192,0.218
9.374634,0.2407,-0.0403,-0.0248,0.245
9.394583,0.148,-0.178,0.0261,0.233
9.414673,0.0406,-0.0705,-0.013,0.082
9.434709,0.0752,0.0265,-0.0344,0.087
9.462579,0.2159,0.0212,0.0096,0.217
9.480852,0.1616,-0.0293,0.0542,0.173
9.494813,0.1858,-0.1106,0.0428,0.22
9.514651,0.1172,-0.0319,-0.0115,0.122
9.534326,-0.1076,-0.0776,-0.0345,0.137
9.556949,-0.1061,-0.3112,-0.0248,0.33
9.573923,-0.236,-0.3692,0.0555,0.442
9.594042,-0.0364,-0.2218,0.1658,0.279
9.614381,0.0571,0.2359,0.0903,0.259
9.634436,-0.1426,0.28,-0.041,0.317
9.660411,-0.0909,0.0421,0.0263,0.104
9.675402,-0.2069,-0.1082,0.0252,0.235
9.695649,-0.1629,0.006,0.1112,0.197
9.714209,-0.1464,0.0693,0.0735,0.178
9.733943,-0.1788,0.0214,0.0749,0.195
9.75988,0.0446,0.009,-0.0327,0.056
9.774072,-0.0045,0.0063,-0.023,0.024
9.793628,0.0516,-0.0147,-0.0546,0.077
9.813746,0.067,-0.0079,-0.0158,0.069
9.833757,0.0735,0.001,-0.0129,0.075
9.859932,0.0645,-0.0158,-0.0184,0.069
9.874409,0.051,-0.0391,-0.0372,0.074
9.894108,0.0898,-0.0077,-0.0271,0.094
9.91341,0.0462,0.0062,-0.0238,0.052
9.933297,0.0417,-0.0285,0.0056,0.051
9.96141,0.0177,-0.0513,0.0038,0.054
9.97336,-0.0053,-0.0593,0.0095,0.06
9.993156,-0.0144,-0.0558,-0.003,0.058
10.013304,-0.0037,-0.0315,-0.0041,0.032
10.032854,-0.037,-0.0415,-0.022,0.06
10.066576,-0.0104,-0.0417,0.0026,0.043
10.078093,0.0025,-0.0164,0.0274,0.032
10.093132,-0.0114,0.0104,0.0493,0.052
10.112942,-0.0106,-0.0271,0.031,0.043
10.132966,-0.0336,-0.0635,0.0183,0.074
10.159057,0.0211,-0.0614,0.0157,0.067
10.173385,0.0319,-0.0667,0.0039,0.074
10.193184,0.0215,-0.063,0.0157,0.068
10.212265,0.0226,-0.0616,-0.0079,0.066
10.2324,0.0191,-0.0559,-0.0069,0.059
10.260665,0.0297,-0.0223,0.001,0.037
10.278168,-0.0069,-0.0398,-0.0004,0.04
10.29233,-0.005,-0.0239,-0.0019,0.024
10.312961,0.0046,-0.0201,0.0036,0.021
10.332329,0.007,-0.0093,0.0042,0.012
10.354294,-0.0213,-0.0014,0.0095,0.023
10.372271,-0.0018,-0.0099,0.0214,0.024
10.392234,-0.0061,-0.0015,0.0095,0.011
10.41191,-0.0127,0.0023,-0.0025,0.013
10.432043,-0.0026,-0.0101,-0.0096,0.014
10.459364,0.0,-0.0031,-0.0119,0.012
10.472973,0.007,-0.0198,-0.0161,0.026
10.492369,0.0228,-0.0241,-0.0011,0.033
10.512244,-0.0063,-0.0091,0.0062,0.013
10.531906,-0.0085,-0.0111,-0.0011,0.014
10.559107,-0.0064,-0.0083,-0.0199,0.022
10.572667,-0.0123,-0.0456,-0.0024,0.047
10.591852,0.0413,-0.0488,0.0338,0.072
10.613292,0.0145,0.0021,-0.0104,0.018
10.631656,-0.0057,-0.021,-0.0183,0.028
10.658932,0.0113,-0.0504,0.0031,0.052
10.67212,0.0154,-0.0535,-0.011,0.057
10.691978,0.0104,-0.0362,0.0157,0.041
10.717794,0.0107,-0.0239,0.024,0.035
10.731709,-0.0016,-0.0303,0.0078,0.031
10.75274,-0.0046,-0.0342,-0.0009,0.034
10.77707,0.001,-0.0642,-0.0014,0.064
10.791487,-0.0158,-0.0491,0.0087,0.052
10.811493,-0.0096,-0.0582,0.0471,0.075
10.831446,0.0003,-0.02,0.0127,0.024
10.858657,0.0111,-0.0019,-0.0046,0.012
10.872289,0.0059,-0.0364,-0.0108,0.038
